ISBN,Titel,Hauptschlagwort Buch,Rezept,Seite,Basiszutaten,Kategorie,Bewertung
978-3-440-12248-8,Biokisten Kochbuch,,Schwarzwurzeln mit Orangensauce,122,Schwarzwurzeln; Orangen,,
978-3-440-12248-8,Biokisten Kochbuch,,Sauerkrautgraupen mit Knusperbrot,123,Sauerkraut; Lauch,,
978-3-440-12248-8,Biokisten Kochbuch,,Sauerkrautpuffer mit Fetajoghurt,123,Sauerkraut; Kartoffeln,,
978-3-440-12248-8,Biokisten Kochbuch,,Chicoree-Risotto mit Pecorino,124,Chicoree,,
978-3-440-12248-8,Biokisten Kochbuch,,Topinampur-Tajine mit Lamm und Chili-Zitronen-Joghurt,127,Topinampur; Lamm,,
978-3-440-12248-8,Biokisten Kochbuch,,Topinampur aus der Folie mit Nuss-Orangen-Butter,127,Topinampur; Orangen,,
978-3-440-12248-8,Biokisten Kochbuch,,Brat-Topinampur mit Käsesauce,129,Topinampur,,
978-3-440-12248-8,Biokisten Kochbuch,,Topinampur-Gratin mit Apfelkruste,129,Topinampur; Äpfel,,
978-3-440-12248-8,Biokisten Kochbuch,,Rosenkohl-Wirsing-Gratin mit Kartoffelhaube,130,Rosenkohl; Wirsing; Kartoffeln; Meerrettich,,
978-3-440-12248-8,Biokisten Kochbuch,,Gratinierter Radicchio mit Gorgonzola und Birne,133,Radicchio; Birnen,,
978-3-440-12248-8,Biokisten Kochbuch,,Gebratener Radicchio mit Balsamico,133,Radicchio,,
978-3-440-12248-8,Biokisten Kochbuch,,Rosenkohl mit Walnüssen,134,Rosenkohl,,
978-3-440-12248-8,Biokisten Kochbuch,,Chicoree aus dem Ofen,134,Chicoree,,
978-3-440-12248-8,Biokisten Kochbuch,,Winterpüree mit Rosenkohl,135,Rosenkohl; Pastinaken; Petersilienwurzeln; Kartoffeln,,
978-3-440-12248-8,Biokisten Kochbuch,,Chicoree mit weißen Bohnen,135,Chicoree; Weiße Bohnen; Lauch,,
978-3-440-12248-8,Biokisten Kochbuch,,Wintereintopf mit Orangen-Kresse-Gremolata,137,Rind; Gulasch; Weißkohl; Wirsing; Spinat; Meerrettich; Sellerie; Kartotten,,
978-3-440-12248-8,Biokisten Kochbuch,,Linseneintopf,127,Linsen; Karotten; Sellerie; Topinampur; Rosenkohl,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Hutzelbrot mit getrockneten Früchten,10,,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Orangenlikör,13,Orangen,,2
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Limoncello,13,Zitronen,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Eierlikör,14,,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Linzer Törtchen,16,,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Baumkuchen,18,Marzipan,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Panforte di Siena,20,,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Bratäpfel,23,Äpfel; Marzipan,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Speckäpfel,23,Äpfel; Marzipan,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Lebkuchen nach Landfrauenart,26,,,5
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Lebkuchen klassisch,27,,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Florentiner,28,,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Ministollen,30,,,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Mandarinenkonfitüre mit grünem Pfeffer,33,Mandarinen,Marmelade,
978-3-440-12242-6,Bald ist Weihnachten,Weihnachten,Kumquats-Konfitüre,33,Kumquats,Marmelade,
